# index, name, feat, circles, _pos
0,112906384394401773102,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.59502423, 21.68708063])"
1,108010461820642175437,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.62642094, 21.73768838])"
2,103196426658681364343,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.77887767, 22.03010675])"
3,110702216717135350230,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.82028527, 22.0641461 ])"
4,107207278066629700382,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.60223831, 21.72338032])"
5,100193529331792590881,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.58757577, 21.81343472])"
6,107484261818025698576,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56892073, 21.73151395])"
7,110913621188271830512,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.54865326, 21.68666634])"
8,115636492913488258681,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56113188, 21.65280355])"
9,102620987548496835286,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.63036045, 21.666408  ])"
10,101233858111590883332,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.58562834, 21.7541095 ])"
11,104726342201797079817,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.59724596, 21.69639037])"
12,104503690472140695248,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.67507824, 21.91746348])"
13,108189587050871927619,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.59858721, 21.87096645])"
14,102793127934627081655,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.63723248, 21.70389337])"
15,100623276740673202144,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.58338051, 21.74558623])"
16,116717190116085086875,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56173893, 21.94553107])"
17,109519844611528182119,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.52750002, 22.01601022])"
18,101214107242258352814,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.41209098, 21.79663823])"
19,117929151921447138991,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.46352225, 21.77626406])"
20,102045528390325324867,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.53205971, 21.71319635])"
21,106420653941281751007,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.49302478, 21.81191452])"
22,115785601687445616629,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.53675629, 21.81961223])"
23,103464514021675000370,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.4984278 , 21.83422929])"
24,110045788080484186954,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.43839867, 21.81279352])"
25,103546981939364425829,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56144585, 21.80564402])"
26,106711512419536762129,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.48153754, 21.73258716])"
27,108124431144761447173,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.42885481, 21.84964579])"
28,106712775403538194380,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.48142698, 21.78313547])"
29,114914832761555589566,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.59715559, 21.68061269])"
30,116509035918063279757,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.60027374, 21.59943242])"
31,112607311634292542515,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.53728875, 21.96262376])"
32,106497949182730964838,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56962987, 21.86932745])"
33,111964980790735916178,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.56061979, 21.91092938])"
34,106717946845088683921,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.58684208, 21.9035902 ])"
35,108532474643815964591,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.54995673, 21.93285263])"
36,106412255733219697839,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.60154567, 21.98401808])"
37,109798195910978628962,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.74583962, 22.03782849])"
38,113516800619085848138,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.75716089, 22.11987789])"
39,114766231675575465775,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.53264006, 21.92331489])"
40,109931117392620460235,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.57820006, 21.88743205])"
41,100751529912611655620,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.52181688, 21.82881412])"
42,105454063295212872036,"array([], dtype=uint8)","array([], dtype=uint8)","array([-7.46977323, 21.78644388])"
